fcitx5-mozc 2.32.5994.102.g7cd777dbb-1
fcitx5-qt 5.1.11-3
feh 3.11.2-2
ffmpeg 2:8.0.1-1
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 145.0.2-1
flac 1.5.0-1
flameshot 13.3.0-2
flex 2.6.4-5
fontconfig 2:2.17.1-1
freetype2 2.14.1-1
fribidi 1.0.16-2
fzf 0.67.0-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gettext 0.26-1
giflib 5.2.2-2
git 2.52.0-2
glib-networking 1:2.80.1-1
glib2 2.86.2-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm-2.68 2.86.0-1
glslang 1:1.4.328.1-1
glycin 2.0.7-1
gmp 6.3.0-2
gnome-font-viewer 49.0-1
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnutls 3.8.11-2
gperftools 2.17.2-1
gpgme 2.0.1-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
groff 1.23.0-7
grub 2:2.14rc1.r54.g29f3131a-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.23-1
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad-libs 1.26.9-1
gst-plugins-base-libs 1.26.9-1
gstreamer 1.26.9-1
gtest 1.17.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkmm-4.0 4.20.0-1
guile 3.0.10-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 12.2.0-2
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hwdata 0.401-1
iana-etc 20251114-1
icu 78.1-1
imlib2 1.12.5-1
iproute2 6.17.0-1
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.19.0-1
jansson 2.14.1-1
jbigkit 2.1-8
json-c 0.18-2
json-glib 1.10.8-1
kbd 2.9.0-1
kdbusaddons 6.20.0-1
keyutils 1.6.3-3
kguiaddons 6.20.0-1
kitemviews 6.20.0-1
kitty 0.44.0-1
kitty-shell-integration 0.44.0-1
kitty-terminfo 0.44.0-1
kmod 34.2-1
krb5 1.21.3-2
kwidgetsaddons 6.20.0-1
kwindowsystem 6.20.0-1
l-smash 2.14.5-4
lame 3.100-6
lapack 3.12.1-2
lcms2 2.17-1
leancrypto 1.6.0-1
libadwaita 1:1.8.2-1
libarchive 3.8.4-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libavc1394 0.5.4-7
libavif 1.3.0-3
libb2 0.98.1-3
libbluray 1.4.0-2
libbpf 1.6.2-1
libbs2b 3.1.0-9
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-2
libcolord 1.4.8-1
libconfig 1.8.1-1
libcups 2:2.4.15-2
libdaemon 0.14-6
libdatachannel 0.24.0-1
libdatrie 0.2.14-1
libdeflate 1.24-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-1
libdrm 2.4.129-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libelf 0.194-1
libepoxy 1.5.10-3
libev 4.33-4
libevdev 1.13.6-1
libevent 2.1.12-4
libexif 0.6.25-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfyaml 0.9-1
libgcrypt 1.11.2-1
libglvnd 1.7.0-3
libgpg-error 1.56-1
libgtop 2.41.3-2
libgudev 238-3
libice 1.1.2-1
libidn2 2.3.7-1
libiec61883 1.2.0-9
libimagequant 4.4.1-1
libinput 1.30.0-2
libisl 0.27-1
libjpeg-turbo 3.1.2-1
libjuice 1.7.0-1
libjxl 0.11.1-5
libksba 1.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-2
libluv 1.51.0-1
libmfx 23.2.2-5
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmysofa 1.3.3-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnftnl 1.3.0-1
libnghttp2 1.68.0-1
libnghttp3 1.13.1-1
libnice 0.1.23-1
libnl 3.11.0-1
libnm 1.54.2-1
libnotify 0.8.7-1
libnsl 2.0.1-1
libnvme 1.16.1-1
libogg 1.3.6-1
libopenmpt 0.8.3-1
libp11-kit 0.25.10-2
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipewire 1:1.4.9-2
libplacebo 7.351.0-3
libpng 1.6.51-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r93+gbe2efb69b-1
libraqm 0.10.3-1
libraw1394 2.1.2-4
librsvg 2:2.61.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.5-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.20-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libsrtp 1:2.7.0-1
libssh 0.11.3-1
libssh2 1.11.1-1
libstemmer 3.0.1-1
libsysprof-capture 49.0-1
libtasn1 4.20.0-1
libteam 1.32-3
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.1-1
libtirpc 1.3.7-1
libtool 2.6.0-1
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.2-1
liburing 2.12-1
libusb 1.0.29-1
libutf8proc 2.10.0-2
libuv 1.51.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.2-2
libvterm 0.3.3-2
libwacom 2.17.0-1
libwebp 1.6.0-2
libwireplumber 0.5.12-1
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.13.0-1
libxkbcommon-x11 1.13.0-1
libxkbfile 1.1.3-1
libxml2 2.15.1-4
libxmlb 0.3.24-1
libxmu 1.2.1-1
libxpresent 1.0.2-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
licenses 20240728-1
lilv 0.24.26-1
linux-api-headers 6.17-1
linux-firmware 20251125-1
linux-firmware-amdgpu 20251125-1
linux-firmware-atheros 20251125-1
linux-firmware-broadcom 20251125-1
linux-firmware-cirrus 20251125-1
linux-firmware-intel 20251125-1
linux-firmware-mediatek 20251125-1
linux-firmware-nvidia 20251125-1
linux-firmware-other 20251125-1
linux-firmware-radeon 20251125-1
linux-firmware-realtek 20251125-1
linux-firmware-whence 20251125-1
linux-zen 6.17.9.zen1-1
lld 21.1.6-1
llvm-libs 21.1.6-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lolcat 100.0.1-5
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1764270282+b973c62-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
mbedtls 3.6.4-1
md4c 0.5.2-1
mesa 1:25.2.7-1
mkinitcpio 40-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.3-1
mpv 1:0.40.0-7
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.8-1
ncurses 6.5-4
neovim 0.11.5-1
nettle 3.10.2-1
networkmanager 1.54.2-1
noto-fonts 1:2025.12.01-1
noto-fonts-cjk 20240730-1
npth 1.8-1
nspr 4.38.2-1
nss 3.118.1-1
obs-studio 32.0.2-2
ocl-icd 2.3.4-1
openal 1.24.3-2
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssl 3.6.0-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20251021-1
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm-2.48 2.56.1-1
paru 2.1.0-1
paru-debug 2.1.0-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-error 0.17030-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
picom 12.5-3
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 126-2
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-3
psmisc 23.7-1
python 3.13.7-1
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-build 1.3.0-1
python-clickgen 2.2.5-1
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-more-itertools 10.8.0-1
python-numpy 2.3.5-1
python-packaging 25.0-1
python-pillow 12.0.0-2
python-platformdirs 4.5.0-1
python-pyproject-hooks 1.2.0-3
python-setuptools 1:80.9.0-2
python-toml 0.10.2-12
python-wheel 0.45.1-1
python-yaml 6.0.3-1
qrcodegencpp-cmake 1.8.0-4
qt6-base 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
rav1e 0.8.1-2
readline 8.3.001-1
rnnoise 1:0.2-1
rubberband 4.0.0-1
ruby 3.4.7-2
ruby-erb 4.0.4-9
ruby-manpages 0.6.1-8
ruby-optimist 3.1.0-5
ruby-paint 2.3.0-6
ruby-rdoc 6.14.0-1
rubygems 3.6.9-1
rust 1:1.91.1-2
sbc 2.1-1
sdl2-compat 2.32.58-1
sdl3 3.2.26-1
sed 4.9-3
serd 0.32.6-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
simde 0.8.2-1
sl 5.05-5
slang 2.3.3-4
snappy 1.2.2-2
sof-firmware 2025.05.1-1
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.328.1-1
sqlite 3.51.1-1
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
sudo 1.9.17.p2-1
svt-av1 3.1.2-1
systemd 258.2-2
systemd-libs 258.2-2
systemd-sysvcompat 258.2-2
tar 1.35-2
tdb 1.4.14-1
texinfo 7.2-1
thunar 4.20.6-1
tinysparql 3.10.1-2
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.4.0-1
tzdata 2025b-1
uchardet 0.0.8-3
unibilium 2.1.2-1
unzip 6.0-23
uthash 2.3.0-2
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
v4l-utils 1.32.0-1
vapoursynth 72-1
vid.stab 1.1.1-2
vmaf 3.0.0-1
vulkan-icd-loader 1.4.328.1-1
wayland 1.24.0-1
webrtc-audio-processing-1 1.3-5
which 2.23-1
wireplumber 0.5.12-1
wpa_supplicant 2:2.11-3
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcursor-premium 0.3-10
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xkeyboard-config 2.46-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yyjson 0.12.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.3.1-2
zram-generator 1.2.1-1
zstd 1.5.7-2
